City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Leshukonskoye,RU,57.06,64.9,45.76,Gostinitsa Mup Zhkkh
2,Tessalit,ML,87.64,20.2,1.01,
3,Jamestown,US,68.0,42.1,-79.24,Hampton Inn & Suites Jamestown
4,Gat,IL,78.01,31.61,34.76,רגע בנחת
5,Vaini,TO,80.6,-21.2,-175.2,Keleti Beach Resort
6,Atuona,PF,80.28,-9.8,-139.03,Villa Enata
7,Orbetello,IT,69.01,42.44,11.22,Argentario Golf Resort & Spa
11,Beruwala,LK,84.85,6.48,79.98,The Eden Resort & Spa
12,Salalah,OM,84.2,17.02,54.09,HAMDAN PLAZA HOTEL
13,Hithadhoo,MV,84.43,-0.6,73.08,Scoop Guest House
14,Makakilo City,US,82.4,21.35,-158.09,Marriott's Ko Olina Beach Club
16,Nemuro,JP,53.6,43.32,145.57,Hotel Nemuro Kaiyoutei
18,Samarai,PG,80.62,-10.62,150.67,Nuli Sapi
19,Santa Rosalia,MX,79.43,27.32,-112.28,Hotel Las Casitas Santa Rosalia
20,Ixtapa,MX,84.2,20.7,-105.2,Container Inn Puerto Vallarta
23,Sioux Lookout,CA,55.4,50.1,-91.92,Knobby's Fly-In Camps
24,Ribas Do Rio Pardo,BR,63.79,-20.44,-53.76,Ataíde Martins
25,Kodiak,US,51.8,57.79,-152.41,Best Western Kodiak Inn and Convention Center
26,Vega De Alatorre,MX,80.89,20.03,-96.63,Hotel Deluxe
27,Falkenberg,SE,62.01,56.91,12.49,Falkenberg Strandbad
31,Port Alfred,ZA,55.99,-33.59,26.89,The Halyards Hotel
32,Provideniya,RU,57.2,64.38,-173.3,
33,Avarua,CK,71.6,-21.21,-159.78,Paradise Inn
34,Albany,US,75.99,42.6,-73.97,
35,Cayenne,GF,77.0,4.93,-52.33,Hôtel Le Dronmi
36,Kapaa,US,80.6,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
37,Nikolskoye,RU,63.0,59.7,30.79,Tourist House - Sablino
38,Zhireken,RU,69.37,52.82,117.31,
40,Thompson,CA,55.4,55.74,-97.86,Burntwood Hotel
41,Getafe,ES,68.0,40.31,-3.73,Vértice Roomspace Madrid
43,Bundaberg,AU,73.4,-24.85,152.35,Takalvan Motel
44,Rikitea,PF,70.34,-23.12,-134.97,Pension Maro'i
45,Campo Verde,BR,62.6,-20.42,-54.07,
46,Artyom,AZ,86.0,40.47,50.33,Merdan Respect
47,Cape Town,ZA,50.0,-33.93,18.42,Southern Sun Waterfront Cape Town
48,Hurricane,US,84.2,37.18,-113.29,Super 8 by Wyndham Hurricane Zion National Park
49,Cherskiy,RU,68.63,68.75,161.3,Gostinitsa
50,Batemans Bay,AU,57.0,-35.72,150.18,Coachhouse Marina Resort - Batemans Bay
51,Puerto Ayora,EC,68.0,-0.74,-90.35,Finch Bay Galapagos Hotel
54,Lompoc,US,57.2,34.64,-120.46,Holiday Inn Express Lompoc
55,Carnarvon,AU,80.6,-24.87,113.63,Hospitality Carnarvon
57,Kununurra,AU,84.2,-15.77,128.73,Hotel Kununurra
58,East London,ZA,55.4,-33.02,27.91,Tu Casa
59,Urengoy,RU,51.12,65.97,78.37,Gostinnitsa Medveditsa
60,Vaitape,PF,78.19,-16.52,-151.75,Hotel Maitai Polynesia
62,Clinton,US,75.0,42.59,-82.92,River's Edge
64,Tirat Karmel,IL,79.0,32.76,34.97,Marom Hotel Haifa מלון מרום
65,Chipinge,ZW,50.14,-20.19,32.62,Mutare Club
66,Vostok,RU,59.92,46.49,135.88,
68,Chokurdakh,RU,69.28,70.63,147.92,
70,Cidreira,BR,67.6,-30.18,-50.21,Novomar Pousada e Turismo Ltda
71,Chuy,UY,57.76,-33.7,-53.46,Nuevo Hotel Plaza
72,Ribeira Grande,PT,66.24,38.52,-28.7,Quinta da Meia Eira
73,Yulara,AU,62.6,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
74,Bud,US,64.99,39.45,-86.18,Madsion Scouts Camp
76,Yellowknife,CA,72.0,62.46,-114.35,The Explorer Hotel
77,Shahr-E Kord,IR,69.8,32.33,50.86,Sharekord Tourism Hotel
79,Hilo,US,78.8,19.73,-155.09,Hilo Hawaiian Hotel
81,Nyurba,RU,79.95,63.28,118.33,Gostinitsa Alrosa
82,San Jose,US,66.0,37.34,-121.89,The Westin San Jose
85,Victoria Point,AU,69.01,-27.58,153.3,Bay Retreat Motel
86,Matagami,CA,64.4,49.75,-77.63,Hôtel Matagami
90,Castro,BR,56.23,-24.79,-50.01,CHACARA BAILLY
92,Chapais,CA,68.0,49.78,-74.85,Hôtel Opémiska
94,Verkhoyansk,RU,89.51,67.54,133.38,
96,Ouallam,NE,89.42,14.32,2.09,
97,Bengkulu,ID,84.67,-3.8,102.27,Grage Hotel Bengkulu
98,Butaritari,KI,83.39,3.07,172.79,Isles Sunset Lodge
99,Lodwar,KE,82.74,3.12,35.6,Turkwel Lodge
100,Riyadh,SA,89.6,24.69,46.72,InterContinental Riyadh
101,Kluczbork,PL,63.0,50.97,18.22,Hotel Spałka
103,Qui Nhon,VN,89.04,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
105,Lagoa,PT,65.91,39.05,-27.98,Casa Das Faias
106,Carmelo,UY,51.8,-33.99,-58.29,Los Muelles Boutique Hotel
108,Kostrzyn,PL,64.99,52.4,17.23,uluBIOny hotel&restaurant&event
109,Nishihara,JP,82.4,26.18,127.76,Minshuku Agaihama
110,Wageningen,NL,60.01,51.97,5.67,Fletcher Hotel-Restaurant De Wageningsche Berg
114,Shimoda,JP,68.0,34.67,138.95,Shimoda Tokyu Hotel
115,Coari,BR,75.34,-4.08,-63.14,HOTEL ALEX FLAT
116,Wawa,NG,74.3,9.9,4.42,
119,Sinnamary,GF,77.99,5.38,-52.95,ALETHEIA Appartement Sinnamary
120,Jackson,US,69.8,42.42,-122.83,Agate Village Apartments
123,Aleksandrov Gay,RU,66.79,50.15,48.57,
124,Mount Gambier,AU,51.8,-37.83,140.77,Southgate Motel
125,Cabo San Lucas,MX,79.0,22.89,-109.91,Hotel Tesoro Los Cabos
126,Wamba,NG,72.41,8.93,8.6,Roma Zee Guest House Annex
129,Broken Hill,AU,57.2,-31.95,141.43,Daydream Motel & Cottages
130,Marsabit,KE,64.45,2.33,37.99,Chicho Hotel
132,Andenes,NO,53.6,69.31,16.12,Hotell Marena
133,Dingle,PH,89.82,11.0,122.67,Camp Pasica
134,San Patricio,MX,80.8,19.22,-104.7,Hotel Cabo Blanco
139,Dzhalil,RU,52.77,55.02,52.74,Sanatoriy-Profilaktoriy
140,Lorengau,PG,86.27,-2.02,147.27,Lorengau Harbourside Hotel
141,Constitucion,CL,51.19,-35.33,-72.42,Hotel Boutique Las Azucenas
142,Shirgaon,IN,87.8,19.7,72.7,LAXMI GARDEN BEACH RESORT
143,Bahia De Caraquez,EC,74.48,-0.6,-80.42,La Piedra Hotel
146,Lamar,US,70.0,33.67,-95.58,Kings Inn Paris TX
147,Saskylakh,RU,73.11,71.92,114.08,
148,Yemelyanovo,RU,66.2,56.17,92.68,Zaimka Emelyanovskaya Gorka
149,Boditi,ET,60.85,6.97,37.87,Me'aza Metasebiya Hotel.
150,Arraial Do Cabo,BR,72.52,-22.97,-42.03,Pousada Porto Praia
153,Elat,IL,89.6,29.56,34.95,Club Hotel Eilat
154,Sainte-Anne-Des-Monts,CA,58.82,49.12,-66.49,Motel et restaurant Manoir sur Mer Enr.
155,Tuktoyaktuk,CA,50.0,69.45,-133.04,End of The Road Ltd.
156,Nikel,RU,50.0,69.41,30.22,Severnoe Siyanie
157,Saint-Philippe,RE,75.2,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
158,Buraydah,SA,84.2,26.33,43.98,Mövenpick Hotel Qassim
159,Coos Bay,US,57.99,43.37,-124.22,Best Western Holiday Hotel
160,Okhotsk,RU,53.76,59.38,143.3,
162,Palatka,US,75.99,29.65,-81.64,Holiday Inn Express & Suites Palatka Northwest
164,Raudeberg,NO,59.0,61.99,5.14,Nordre Silda.
165,Labuhan,ID,85.01,-6.88,112.21,bador sepret
166,Chokwe,MZ,56.84,-24.53,32.98,Complexo Sonho Real
167,Fukue,JP,78.8,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
168,Yunyang,CN,71.74,33.45,112.71,Post & Telecom Hotel
169,West Bay,KY,82.99,19.37,-81.42,Calypso Cove
170,Diu,IN,87.84,20.71,70.98,Hotel Relax Inn
172,Tatui,BR,60.12,-23.36,-47.86,Hostel Brigadeiro Jordao
173,Fort Nelson,CA,60.8,58.81,-122.7,The Fort Nelson Hotel
175,Port Keats,AU,86.11,-14.25,129.55,TDC Village (Hundred Man Camp)
176,Ahipara,NZ,59.9,-35.17,173.17,Ahipara Holiday Park
177,Rincon,US,80.6,32.3,-81.24,Bent tree subdivision
178,Kysyl-Syr,RU,78.82,63.9,122.76,
179,Albanel,CA,77.0,48.88,-72.45,Camping municipal d'Albanel
180,Hambantota,LK,87.8,6.12,81.12,Bungalow 63
182,Namibe,AO,68.13,-15.2,12.15,Hotel Chik Chik Namibe
183,Tateyama,JP,69.8,34.98,139.87,Tateyama Seaside Hotel
184,Santa Cruz Cabralia,BR,68.0,-16.28,-39.02,Baia Cabrália Hotel
189,Kismayo,SO,80.42,-0.36,42.55,Agan-Hotel
190,Markova,UA,62.4,48.68,24.41,Kempinh
191,Claye-Souilly,FR,53.6,48.94,2.69,CRYSTAL HOTEL
193,Ponta Do Sol,PT,69.8,32.67,-17.1,Hotel do Campo
195,Awbari,LY,70.32,26.59,12.78,فندق أوباري
197,Merritt Island,US,80.6,28.54,-80.67,
201,Khatanga,RU,70.02,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
202,Sao Mateus,BR,64.78,-18.72,-39.86,Hotel Rio Norte
203,Eydhafushi,MV,83.44,5.1,73.07,Soneva Fushi
204,Geraldton,AU,80.6,-28.77,114.6,Broadwater Mariner Resort
205,Makat,KZ,82.18,47.65,53.35,Gostinitsa Daulet
206,Chilliwack,CA,60.8,49.17,-121.94,Travelodge Hotel by Wyndham Chilliwack
207,Zyryanka,RU,89.87,65.75,150.85,Zyryanka
208,Rocha,UY,56.23,-34.48,-54.33,Beleza Pura B&B
209,Shamary,RU,53.92,57.34,58.22,
210,Fortuna,US,55.99,40.6,-124.16,Super 8 by Wyndham Fortuna
212,Havelock,US,79.0,34.88,-76.9,Sherwood Motel
214,Havre-Saint-Pierre,CA,51.8,50.23,-63.6,Auberge Niapiskau
218,Benalla,AU,55.99,-36.55,145.98,Rose City Motor Inn
220,La Pila,MX,60.8,22.05,-100.87,Zar San Luis Potosi
223,Casas Grandes,MX,77.09,30.37,-107.95,PUEBLO DEL SOuL
224,Bethel,US,69.8,41.37,-73.41,Courtyard by Marriott Danbury
226,Talnakh,RU,64.4,69.49,88.4,Talnakh Hotel
227,Mali Zvornik,RS,59.0,44.37,19.11,Хотел Видиковац
228,Half Moon Bay,US,60.8,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
229,Ajaccio,FR,60.8,42.0,8.92,Sole E Monte
231,Alofi,NU,78.8,-19.06,-169.92,Taloa Heights
235,Norden,DE,62.01,53.6,7.2,Hotel Aquarius
236,Camabatela,AO,55.9,-8.19,15.38,Pensão E Restaurantes
239,Souillac,MU,73.4,-20.52,57.52,Bils' Villa
240,Georgetown,MY,87.8,5.41,100.34,Cititel Penang
241,Saint-Joseph,RE,75.2,-21.37,55.62,"""Plantation Bed and Breakfast"
242,Cascais,PT,64.99,38.7,-9.42,Hotel Vila Galé Cascais
243,College,US,52.0,64.86,-147.8,Pike's Waterfront Lodge
244,Guerrero Negro,MX,62.51,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
245,Mamakan,RU,79.29,57.82,114.0,
247,Koutiala,ML,83.14,12.39,-5.46,Hotel Campement Poule Verte
248,La Ronge,CA,50.0,55.1,-105.28,Northland Motor Hotel
249,Beloha,MG,67.86,-25.17,45.05,
250,Ola,RU,58.33,59.58,151.28,
251,Launceston,AU,52.0,-41.45,147.17,Hotel Grand Chancellor Launceston
253,Taltal,CL,56.53,-25.4,-70.48,Residencial Karime
254,Husavik,IS,53.6,66.04,-17.34,Bjarnabúð
255,Sao Felix Do Xingu,BR,68.61,-6.64,-51.99,Apart Hotel Rio Xingu
257,Ashland,US,69.8,40.82,-82.27,Holiday Inn Express & Suites Ashland
258,Butembo,CD,58.37,0.15,29.28,Hotel Butembo
259,Beyneu,KZ,89.46,45.32,55.2,NUR
260,Tynda,RU,60.26,55.17,124.72,Medis
263,San Andres,CO,82.4,12.58,-81.7,Hotel Arena Blanca
264,Fereydun Kenar,IR,86.0,36.69,52.52,Khezer Shahr Tourist Hotel
265,Kenai,US,57.2,60.55,-151.26,Aspen Extended Stay Suites
266,Burns Lake,CA,50.63,54.23,-125.75,Burns Lake Bed and Breakfast
269,Chicama,PE,63.09,-7.84,-79.15,Hospedaje Punta Cana PERU
270,Olds,CA,59.0,51.78,-114.1,Motel8
271,Bodden Town,KY,82.99,19.28,-81.25,Will T Place
273,Lemon Tree Passage,AU,61.0,-32.73,152.04,BIG4 Koala Shores Port Stephens Holiday Park
274,Abbeville,FR,55.99,50.1,1.83,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
278,Egvekinot,RU,61.9,66.32,-179.17,
279,Saint George,US,86.0,37.1,-113.58,Best Western Plus Abbey Inn
281,Linhares,BR,63.61,-19.39,-40.07,Hotel Conceição
282,Normandin,CA,77.0,48.83,-72.53,Chambres MB Normandin (Lac St -Jean)
283,Pozhva,RU,52.57,59.09,56.08,
284,Bolatice,CZ,62.01,49.95,18.08,Face-off Arena
285,Lazaro Cardenas,MX,81.61,17.96,-102.2,Hotel Quinta Antigua
286,Hervey Bay,AU,73.0,-25.3,152.85,Shelly Bay Resort
287,Barinas,VE,73.35,8.62,-70.21,Hotel Suites Mastranto
288,Singaraja,ID,85.42,-8.11,115.09,Puri Bagus Lovina Resort
289,Hasaki,JP,68.0,35.73,140.83,Inubosaki Kanko Hotel
290,Winnemucca,US,75.99,40.97,-117.74,Winners Inn Casino
291,Port Said,EG,72.7,31.26,32.28,Aracan Hotel
292,Nakatsugawa,JP,78.8,35.48,137.5,Plaza Hotel Sakae
